model,dtype,brand,brand_title,code,code_alias,model_name,ver_name,source_file
A2895,mob,apple,Apple,D74AP,"iPhone15,3",iPhone 14 Pro Max,"亚美尼亚, 白俄罗斯, 哈萨克斯坦, 吉尔吉斯斯坦, 俄罗斯",apple_all
A2896,mob,apple,Apple,D74AP,"iPhone15,3",iPhone 14 Pro Max,中国大陆 & 港澳,apple_all
A2894,mob,apple,Apple,D74AP,"iPhone15,3",iPhone 14 Pro Max,其他国家和地区,apple_all
A2846,mob,apple,Apple,D37AP,"iPhone15,4",iPhone 15,美国,apple_all
A3089,mob,apple,Apple,D37AP,"iPhone15,4",iPhone 15,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A3092,mob,apple,Apple,D37AP,"iPhone15,4",iPhone 15,中国大陆 & 港澳,apple_all
A3090,mob,apple,Apple,D37AP,"iPhone15,4",iPhone 15,其他国家和地区,apple_all
A2847,mob,apple,Apple,D38AP,"iPhone15,5",iPhone 15 Plus,美国,apple_all
A3093,mob,apple,Apple,D38AP,"iPhone15,5",iPhone 15 Plus,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A3096,mob,apple,Apple,D38AP,"iPhone15,5",iPhone 15 Plus,中国大陆 & 港澳,apple_all
A3094,mob,apple,Apple,D38AP,"iPhone15,5",iPhone 15 Plus,其他国家和地区,apple_all
A2848,mob,apple,Apple,D83AP,"iPhone16,1",iPhone 15 Pro,美国,apple_all
A3101,mob,apple,Apple,D83AP,"iPhone16,1",iPhone 15 Pro,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A3104,mob,apple,Apple,D83AP,"iPhone16,1",iPhone 15 Pro,中国大陆 & 港澳,apple_all
A3102,mob,apple,Apple,D83AP,"iPhone16,1",iPhone 15 Pro,其他国家和地区,apple_all
A2849,mob,apple,Apple,D84AP,"iPhone16,2",iPhone 15 Pro Max,美国,apple_all
A3105,mob,apple,Apple,D84AP,"iPhone16,2",iPhone 15 Pro Max,"加拿大, 日本, 墨西哥, 沙特阿拉伯",apple_all
A3108,mob,apple,Apple,D84AP,"iPhone16,2",iPhone 15 Pro Max,中国大陆 & 港澳,apple_all
A3106,mob,apple,Apple,D84AP,"iPhone16,2",iPhone 15 Pro Max,其他国家和地区,apple_all
A3081,mob,apple,Apple,D47AP,"iPhone17,3",iPhone 16,美国,apple_all
A3286,mob,apple,Apple,D47AP,"iPhone17,3",iPhone 16,"加拿大, 日本, 墨西哥, 部分中东国家",apple_all
